"chave","Cidade","UF","lat","lon","Mes","Predito","Limite.Inferior","Limite.Superior","codigo","nome_mes"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,12,37.02,34.8,39.63,"2700102","Dez"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,11,30.42,27.86,32.7,"2700102","Nov"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,10,28.83,26.93,30.89,"2700102","Out"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,9,32.94,30.99,35.61,"2700102","Set"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,8,42.01,37.5,45.9,"2700102","Ago"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,7,54.02,46.46,58.85,"2700102","Jul"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,6,65.46,56.26,71.56,"2700102","Jun"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,5,72.39,63.31,80.13,"2700102","Mai"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,4,73.34,65.23,81.57,"2700102","Abr"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,3,68.28,62,75.43,"2700102","Mar"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,2,58.58,54.38,64.1,"2700102","Fev"
"AGUA BRANCA - AL","AGUA BRANCA "," AL",-9.26472222,-37.93805555,1,47.11,44.35,51.08,"2700102","Jan"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,12,51.5,44.81,56.19,"2900702","Dez"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,11,45.2,39.98,49.54,"2900702","Nov"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,10,39.08,35.39,42.98,"2900702","Out"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,9,35.69,32.27,39.92,"2900702","Set"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,8,36.3,32.25,40.79,"2900702","Ago"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,7,41.3,36.67,45.15,"2900702","Jul"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,6,48.58,43.94,52.23,"2900702","Jun"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,5,56.33,49.23,58.91,"2900702","Mai"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,4,61.57,52.35,64.48,"2900702","Abr"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,3,63.16,52.73,66.85,"2900702","Mar"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,2,61.13,51.07,65.37,"2900702","Fev"
"ALAGOINHAS - BA","ALAGOINHAS "," BA",-12.1486111,-38.42527777,1,56.96,48.39,61.74,"2900702","Jan"
"ALTO PARNAIBA - MA","ALTO PARNAIBA "," MA",-9.10833333,-45.9486111,12,88.91,80.62,93.86,"2100501","Dez"
